Código|Descripción|Código de Barras|Precio Menudeo|Precio Mayoreo|Precio Residencial|Familia
1101001|Jamon de Pavo y Cerdo Americano AROOS|7501689005018|011390|010920|011740|Jamón
1101002|Jamón Americano Cuadrado CAPISTRANO|1101002|014980|014340|015430|Jamón
1101004|Pastel Pimiento CAPISTRANO|7501689023401|010070|009690|010370|Jamón
1101005|Jamon de Pavo Ahumado CAPISTRANO|7501689024606|023550|022730|024260|Jamón
1101006|Espaldilla Cocida AROOS|7501689005322|006650|006370|006850|Jamón
1101007|Jamon de Pierna Extrafino CAPISTRANO|7501689020004|031740|030650|032690|Jamón
1101008|Jamon de Pierna y Cerdo CAPISTRANO|7501689020615|022580|021790|023260|Jamón
1101009|Jamon de Pierna tipo York CAPISTRANO|7501689020400|027780|026660|028610|Jamón
1101010|Jamon de Pierna tipo York CAPISTRANO 250g|7501689020943|006870|006750|007080|Jamón
1101011|Jamón de Pavo AROOS|7501689006466|010980|010570|011300|Jamón
1101013|Pechuga de Pavo Natural CAPISTRANO 250g|7501689020950|010190|009970|010490|Jamón
1101014|Jamón Virginia de Pavo CORONEL|750168900884|014440|013570|014870|Jamón
1101016|Pechuga de Pavo Natural CAPISTRANO|7501689024590|043570|041900|044880|Jamón
1101018|Mortadela Bolongna CAPISTRANO|7501689023609|008400|008070|008650|Jamón
1101019|Mortadela de Pavo MARIETTA|7501689051244|007340|007030|007560|Jamón
1101020|Jamon de Pavo Virginia CAPISTRANO|7501689024705|019850|019270|020450|Jamón
1101023|RECORTE|1101023|006650|006370|006850|Jamón
1101024|Jamon Americano CAPISTRANO 1kg|7501689020790|014460|014200|014890|Jamón
1101025|Jamon de Pavo Virginia CAPISTRANO 1Kg|7501689021018|020050|019390|020650|Jamón
1101027|Pavo Tortero AROOS|7501689005810|009440|009130|009730|Jamón
1101028|Jamon de Pavo y Cerdo MARIETTA Mi Lonchy|7501689051411|010250|010020|010550|Jamón
1101029|Jamón Pechuga de Pavo MARIETTA|1101029|027540|026490|028370|Jamón
1101031|Jamon California DE Pavo y Cerdo CAPISTRANO|7501689020936|013150|012660|013540|Jamón
1101032|Jamon de Pavo Virginia CAPISTRANO 250g|7501689021001|005000|004810|005150|Jamón
1101034|Queso de Puerco CAPISTRANO|1101034|014970|014410|015420|Jamón
1101036|Jamón Virg Pavo Cua. 11X11 AROOS 3.47kg|7501689006480|013780|013170|014190|Jamón
1101041|Jamón Americano Zepelin CORONEL|1101041|012990|012230|013380|Jamón
1101042|Pechuga de Pavo Braseada CAPISTRANO|1101201|039170|037660|040350|Jamón
1101043|Jamon Americano CORONEL|1101043|012990|012230|013380|Jamón
1101046|Jamon de Pierna Familiar CAPISTRANO|7501689021841|014520|014000|014960|Jamón
1101047|Jamon Serrano CORONEL 100gr|7502250190362|007250|007000|007490|Jamón
1101048|Queso de Puerco AROOS 800g|7501689005940|010810|010660|011130|Jamón
1101049|Lomo Canadiense CORONEL 200gr|7502250190829|005820|005700|005990|Jamón
1101051|Jamón Americano Redondo CAPISTRANO|0|014980|014340|015430|Jamón
1101054|Jamón Pechuga  Pavo Coronel|1101054|022100|020830|022760|Jamón
1101055|Jamon  York Coronel|1101055|017800|017130|018330|Jamón
1101058|Jamon Americano CAPISTRANO|1101058|015110|014460|015570|Jamón
1101059|Jamón Virginia de Pavo VITADELI 250g|7501689043102|004300|004200|004430|Jamón
1101062|Pierna Navideña Adobada CAPISTRANO 3.4Kg|1101062|017260|016530|017770|Jamón
1101063|Pierna Navideña Ahumada CAPISTRANO 3Kg|1101063|017260|016530|017770|Jamón
1101064|Pavo Tortero AROOS 800gr|7501689000402|008140|007780|008390|Jamón
1101065|Jamon de Pavo Natural VITA DELI 250gr|7501689000266|004700|004700|004840|Jamón
1101067|Pechuga de pavo VitaDeli 250gr|7501689000150|006600|006600|006800|Jamón
1101069|Pechuga de Pavo Ahumada CORONEL|1101069|020070|018720|020670|Jamón
1101071|Jamon virginia Rebanado CORONEL 1kg|1101071|011100|010800|011430|Jamón
1101072|Queso de Puerco Jalapeño CAPISTRANO|1101072|013420|012930|013820|Jamón
1101075|Espaldilla CORONEL|1101075|006100|005820|006100|Jamón
1101076|Pavo Tortero CORONEL|1101076|008010|007700|008010|Jamón
1101077|Pierna  Ahumada CORONEL|1101077|013200|013200|013200|Jamón
1102001|Salchicha FUD 266gr|7501040009754|003170|003010|003260|Salchicha
1102002|Salchicha con Pavo CAPISTRANO|7501689024804|009280|008870|009560|Salchicha
1102003|Salchicha de Pavo FUD 266g|7501040009761|002970|002810|003060|Salchicha
1102004|Salchicha Para Asar KIR 800g|7501147515073|008600|008010|008860|Salchicha
1102005|Salchicha para Asar CAPISTRANO 800g|7501689025078|007860|007540|008100|Salchicha
1102007|Salchicha con Pavo CAPISTRANO 500g|7501689025009|005030|004880|005180|Salchicha
1102008|Salchicha Viena Pelada y Cortada AROOS|7501689006459|005790|005570|005960|Salchicha
1102009|Salchicha tipo Viena CAPISTRANO|7501689022824|008180|007810|008430|Salchicha
1102010|Salchicha Cerdo Estilo Aleman CAPISTRANO 476g|7501689025030|009680|009480|009970|Salchicha
1102011|Salchicha Pavo Estilo Aleman CAPISTRANO 476g|7501689025047|009690|009570|009980|Salchicha
1102012|Salchicha con Pavo CAPISTRANO 1kg|7501689026402|010550|010340|010870|Salchicha
1102013|Salchicha tipo Viena CAPISTRANO 500g|7501689022404|003880|003740|004000|Salchicha
1102014|Salchicha con Pavo CAPISTRANO 266g|7501689000884|003080|003000|003180|Salchicha
1102015|Salchicha de Pavo Jumbo CAPISTRANO 800g|7501689025085|010080|009970|010390|Salchicha
1102020|Salchicha de Pavo YOSSI 2.2kg|7501689051121|005530|005380|005690|Salchicha
